Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
Universal Radio Hacker (URH),SDR,SDR (analysis + TX/RX),Windows / Linux / macOS,"Investigate, decode and replay/transmit wireless protocols with SDRs",drives SDRs (RTL/HackRF/USRP/LimeSDR/Airspy/SDRplay/PlutoSDR) TX and RX,Open-source,
Wavesink Plus,SDR,"SDR (mobile, DAB)",Android,DAB+/FM broadcast SDR receiver,Controls RTL-SDR over USB OTG to receive DAB/DAB+ ensembles,Commercial / freemium,One of the few polished mobile DAB decoders.
WebSDR,SDR,SDR (web),Linux server (Java) + any browser,The original multi-user web SDR,Controls the SDR/soundcard front-end and streams tuned audio/waterfall to many simultaneous browser users,Freeware (closed binary),Pieter-Tjerk de Boer PA3FWM; powers hundreds of public receivers (websdr.org).
welle.io,SDR,SDR (DAB),Windows / Linux / macOS / Android / Raspberry Pi,DAB/DAB+ software radio,Controls RTL-SDR/SDRplay/Airspy/SoapySDR devices over USB to receive DAB ensembles,Open-source (GPL),Cross-platform including a good Android build.
Winrad,SDR,SDR (legacy),Windows,Original general-purpose SDR receiver by Alberto di Bene I2PHD,Soundcard IQ input and ExtIO hardware modules,Freeware,Ancestor of HDSDR and Studio1; largely superseded but historically important.
"WiNRADiO software (Excalibur, G3x/G6x)",SDR,SDR,Windows,Control/receiver software for WiNRADiO Excalibur (G31DDC/G33DDC/G65DDC) and G3 series SDRs,"Controls WiNRADiO SDR receivers over USB — tuning, demod, recording",Commercial (bundled),Ships with WiNRADiO hardware.
Zeus Radio,SDR,SDR (transceiver),Windows,"Console for the ZEUS ZS-1 SDR transceiver (RIT/XIT/split, NR, auto-notch)",Controls ZS-1 hardware TX/RX; also drives Hermes/ANAN/Afedri/Red Pitaya/HiQSDR/RTL-SDR front-ends,Commercial (bundled with ZS-1),SSB Electronic / Xylo; ships with the ZS-1 transceiver.
AGWPE (SV2AGW Packet Engine),Software TNC / sound modem,Software TNC / host engine,Windows,Packet engine that exposes a soundcard TNC (or drives a hardware TNC) through the AGW API over TCP,Sound-card audio in/out (or controls a serial hardware TNC); PTT via serial port,Free; AGW Packet Engine Pro is commercial,SV2AGW. The AGW API it defined is used by dozens of APRS/packet apps; 'AGW mode' is a universal interface standard.
AGWPE / AGW Packet Engine (Pro),Software TNC / sound modem,Software TNC / packet engine,Windows,Sound-card packet engine and host API (AGW protocol) serving multiple client apps simultaneously,"Sound-card audio in/out; PTT via serial port; provides AX.25 packet to Winlink, APRS, BBS clients",Free (AGWPE) / Commercial (Pro),"By SV2AGW George Rossopoulos; the original sound-card TNC, now largely superseded by UZ7HO/Direwolf."
ARDOP (ARDOP_Win / ARDOP TNC),Software TNC / sound modem,Software TNC / sound modem,Windows,Open sound-card modem implementing the Amateur Radio Digital Open Protocol (v1 and v2); free alternative modem for Winlink/Pat/ARIM,Sound-card audio in/out; PTT via CAT/serial/Hamlib; TCP or serial host interface to client apps,Free / open protocol,By Rick Muething KN6KB; the Windows ARDOP TNC ships with Winlink Express. Designed to replace WINMOR.
ARDOP (ardopc / ardopcf / ARDOP_Win TNC),Software TNC / sound modem,HF/VHF sound-card modem (virtual TNC),Windows / Linux / macOS / Raspberry Pi,"Open ARQ soundcard modem used by Winlink, Pat and ARIM",Sound-card audio in/out; CAT + PTT; presents a TCP virtual-TNC,Open-source / free,KN6KB origin; ardopcf is the maintained cross-platform build.
ARDOP_GUI,Software TNC / sound modem,Software TNC GUI/front-end,Windows / Linux,"Graphical monitor/front end for the ARDOP TNC showing waterfall, constellation, and status","Displays and controls the ARDOP TNC, which handles the sound-card audio and PTT",Free,Diagnostic/tuning companion for ARDOP modems.
ardopc / ardopcf,Software TNC / sound modem,Software TNC / sound modem,Linux / Windows / macOS,"C-language ARDOP TNC (ardopcf is the actively maintained fork); command-line, supports TCP or virtual-COM host","Sound-card audio; PTT via Hamlib/rigctld/flrig, serial or GPIO; can emulate an SCS Dragon so PACTOR-only apps (Winlink Express, AirMail) can use ARDOP",Open-source (BSD/GPL),github.com/... ardopcf. Core modem for headless/Linux Winlink stations.
ARIM,Software TNC / sound modem,ARDOP messaging host program,Linux / Windows / macOS / Raspberry Pi (ncurses),"Amateur Radio Instant Messaging: keyboard messaging, file transfer, and a shared-file BBS over ARDOP","Connects to the ARDOP TNC, which drives sound-card audio and PTT on the rig",Open-source (GPL),By Bob Cameron VE3TOK with ARDOP by KN6KB/G8BPQ. whitemesa.net/arim.
ARIM / gARIM,Software TNC / sound modem,ARDOP messaging app,Linux / macOS / Windows,"Amateur Radio Instant Messaging: keyboard chat, file and message transfer over ARDOP",Through an ARDOP soundcard modem (audio + PTT),Open-source,ncurses ARIM runs headless on a Pi; gARIM is the GTK GUI.
BayCom / FlexNet (BayCom modem software),Software TNC / sound modem,Packet driver / modem stack,DOS / Windows / Linux,BayCom modem driver plus FlexNet L2/L3 packet networking stack,Baycom modem on serial/parallel (or soundcard); PTT via port lines,Free,Legacy European packet standard; FlexNet32 provided the routing layer for GP/TSTHOST terminals.
Dire Wolf,Software TNC / sound modem,Software TNC / sound-card modem,Windows / macOS / Linux / Raspberry Pi,"Software 'soundcard' AX.25 packet modem/TNC and APRS encoder/decoder; also digipeater, IGate, APRStt gateway, tracker","Sound-card audio in/out (AFSK 1200/9600, 300 baud, FX.25/IL2P FEC); PTT via serial RTS/DTR, GPIO, CM108 HID, hamlib, or VOX",Open-source (GPL),"De-facto standard soft-TNC (WB2OSZ). Exposes AGW network protocol plus KISS serial and KISS-over-TCP; drives BPQ32, Xastir, YAAC, JNOS, Winlink, etc."
gARIM,Software TNC / sound modem,ARDOP messaging host (GUI),Linux / Windows / Raspberry Pi (FLTK),GUI version of ARIM for ARDOP and ARDOP2 TNCs,Via the ARDOP TNC (sound-card audio + PTT),Open-source (GPL),Same feature set as ARIM with a graphical interface.
piardopc / piardop2,Software TNC / sound modem,Software TNC / sound modem,"Raspberry Pi (Raspbian, ARM)",ARDOP v1 (piardopc) and v2 (piardop2) TNC builds for the Raspberry Pi,"USB sound interface for audio; PTT via GPIO, serial or CAT/Hamlib",Free,Standard modem for Pi-based Winlink/BPQ gateways.
QtSoundModem,Software TNC / sound modem,Software TNC / sound-card modem,Windows / Linux / Raspberry Pi,GUI software TNC exposing KISS and AGW; multi-port soundcard AX.25 modem,Sound-card audio in/out; PTT via serial or GPIO,Open-source / free,Cross-platform sibling of UZ7HO (port maintained by G8BPQ). Common on Pi packet nodes.
soundmodem (Thomas Sailer),Software TNC / sound modem,Software TNC / sound-card modem,Linux (legacy Windows 'flexdrv'),Kernel-integrated soundcard AX.25 modem (AFSK/FSK/PSK),Sound-card audio in/out; PTT via serial/parallel port lines,Open-source (GPL),Original *nix soundmodem; attaches to the Linux kernel AX.25 stack (distinct from UZ7HO SoundModem).
"TFPCX (The Firmware PC eXtended, DG0FT)",Software TNC / sound modem,Software TNC / host-mode driver,DOS (runs in Windows DOS box),Emulates a TNC in WA8DED host mode as a TSR for terminal programs and BayCom modems,Baycom/soundcard modem; PTT via serial line,Free,"Legacy driver that gave DOS terminals (GP, TSTHOST, TOP) a software TNC; TFKISS/TFPCR variants."
UZ7HO SoundModem,Software TNC / sound modem,Software TNC / sound-card modem,Windows,"Dual-port software Packet-Radio TNC implementing AX.25 with many modems (1200, 9600, 300, Robust, QPSK, etc.)","Sound-card audio in/out; PTT via serial (RTS/DTR), CAT, or VOX",Free (donationware),"Two TCP interfaces: AGW PE (drop-in AGWPE replacement) and (X)KISS. Widely paired with BPQ32, EasyTerm, UISS."
VARA FM / VARA HF,Software TNC / sound modem,HF/VHF sound-card modem,Windows,High-speed OFDM soundcard modems used by Winlink and VarAC,Sound-card audio in/out; CAT + PTT via the host app,Commercial (free at reduced speed; paid unlock),EA5HVK; the de-facto Winlink HF modem and a modern alternative to Pactor.
VARA HF,Software TNC / sound modem,Software TNC / sound modem,Windows (Linux/macOS/Pi via WINE),"High-performance HF OFDM soft-modem (>7000 bps in 2.3 kHz) used as the modem for Winlink, VarAC, Pat, vARIM",Sound-card audio in/out over SSB; PTT via CAT/RTS-DTR/Hamlib/VOX. IP host interface to client apps,Donationware (free eval at reduced speed; paid lifetime license),"By EA5HVK (rosmodem). One license covers VARA HF + VARA FM. A software TNC, not hardware."
VARA SAT,Software TNC / sound modem,Software TNC / sound modem,Windows,VARA modem variant tuned for the QO-100 geostationary satellite,Sound-card audio + PTT/CAT through a satellite-capable SSB station,Donationware,Also by EA5HVK; for narrowband satellite data/email.
VARA Terminal / VARA Chat,Software TNC / sound modem,Software TNC companion app,Windows,Simple terminal and chat front ends bundled/associated with the VARA modem for point-to-point connects,Sends/receives through the VARA sound modem; PTT via VARA's rig-control settings,Free,Lightweight alternatives to VarAC for testing/basic connects over VARA.
vARIM,Software TNC / sound modem,VARA messaging host program,Linux / Windows,"ARIM-style instant messaging, file transfer and BBS built for the VARA HF modem",Drives the VARA HF sound modem (audio + PTT/CAT),Open-source (GPL 3.0),whitemesa.net/varim; VARA counterpart to ARIM/gARIM.
WINMOR (WINMOR Sound Card TNC),Software TNC / sound modem,Software TNC / sound modem (legacy),Windows,Legacy HF sound-card modem (500 Hz & 1600 Hz) for Winlink; predecessor to ARDOP,Sound-card audio in/out; PTT via CAT/serial,Free (deprecated),By KN6KB. Deprecated in favor of ARDOP but still seen in older installs.
WinRPR,Software TNC / sound modem,Software TNC / sound-card modem,Windows,Soundcard emulation of the SCS Tracker TNC for HF/Robust Packet and normal HF packet,Sound-card audio in/out; PTT via serial or VOX; presents WA8DED host-mode and KISS over serial/TCP,Free,G8BPQ. Revived Robust Packet without SCS hardware; used with BPQ32 (SCSTracker interface).
Black Cat SSTV,SSTV / Weather fax,SSTV (analog slow-scan TV),"macOS, iOS (iPhone/iPad)",Send and receive SSTV images across common modes with tuning display and image library.,Sound-card / device-audio in/out to the radio; PTT via VOX or interface; on Mac can key via serial/CAT.,Commercial,By Black Cat Systems. One of the few polished Apple-platform SSTV apps; App Store id387910013 for iOS.
ChromaPIX,SSTV / Weather fax,SSTV (analog slow-scan TV),Windows,Full-featured color SSTV program with visual template composer and DSP decoder.,Sound-card audio in/out; serial-port PTT keying.,Commercial (legacy),"By Silicon Pixels (Jim Barber N7CX). Classic Win9x/XP-era app, still run by enthusiasts."
DigTRX,SSTV / Weather fax,Digital SSTV (DRM) + data,Windows,DRM-based digital SSTV/data program for images and files over HF.,Sound-card audio in/out; serial-port PTT keying.,Free (freeware),By PY4ZBZ/collaborators; an early HamDRM digital-SSTV/file tool related to the EasyPal lineage.
DroidSSTV,SSTV / Weather fax,SSTV (analog slow-scan TV),Android,Send and receive SSTV images on Android with mode selection and image gallery.,Device audio to/from the radio (acoustic or cable); PTT via VOX or Wolphi interface cable.,Commercial (paid app),By Wolphi. Pairs with the Wolphi-Link audio interface for a clean phone-to-rig connection.
EasyPal,SSTV / Weather fax,Digital SSTV (HamDRM/DRM),Windows,"Digital SSTV using DRM (COFDM) to send images and files (jpg/pdf/doc, ICS forms) in a 2.5 kHz channel with error correction.",Sound-card audio in/out; PTT via serial/CAT or VOX; CAT rig control supported.,Free (freeware),By the late Erik Sundstrup VK4AES. The dominant HF digital-SSTV program; QSSTV is HAMDRM-compatible with it.
Fldigi (WEFAX mode),SSTV / Weather fax,Weather fax,"Windows, macOS, Linux, Raspberry Pi","Multimode digital modem app whose WEFAX-IOC576/288 modes decode and transmit HF weather fax with auto-align, phasing and auto-save.","Sound-card audio in/out; PTT via serial (RTS/DTR), Hamlib or flrig CAT; full CAT rig control.",Open-source (GPL),By W1HKJ team. Free cross-platform first choice for WEFAX; also does dozens of non-image digital modes.
GSHPC,SSTV / Weather fax,SSTV + weather fax,Windows,Sound-card SSTV and HF FAX program with RX/TX and image handling.,Sound-card audio in/out; serial-port PTT keying.,Free (freeware),By Gerd Schrick / 'G. Schrick' Ham Picture package; long-standing free Windows option.
Ham Radio Deluxe (DM780),SSTV / Weather fax,Multimode incl. SSTV,Windows,"HRD suite's Digital Master 780 module supports SSTV alongside PSK/RTTY/other digital modes, tightly integrated with HRD rig control.",Sound-card audio in/out; PTT and full CAT rig control via the HRD Rig Control engine.,Commercial (older 5.x freeware circulates),SSTV is one of many modes; strongest as an integrated logging+rig-control+digital suite.
HamFax,SSTV / Weather fax,Weather fax + SSTV,Linux,Receive and transmit HF fax (WEFAX) and some SSTV via the sound card.,ALSA/OSS sound-card audio in/out; PTT keying via serial line (RTS/DTR) or Hamlib.,Open-source (GPL),By Christof Schmitt DH1CS. Long-standing Linux/Unix fax program.
HF Weather Fax,SSTV / Weather fax,Weather fax,"Windows, macOS, iOS","Dedicated HF radiofax decoder tuned for marginal reception, with phasing/slant correction and automatic image capture.",Sound-card / device audio input from the receiver; receive-focused (no TX/PTT needed).,Commercial,By Black Cat Systems. Polished cross-platform WEFAX app; iOS version lets a phone decode fax off a receiver.
HOKA Code3-32 / W-CODE,SSTV / Weather fax,Professional multimode decoder incl. FAX/SSTV,Windows,"Professional-grade multimode decoders (HOKA Code3-32, Wavecom W-CODE) that include HF FAX and SSTV among hundreds of utility/maritime modes.",Sound-card or dedicated hardware audio input from the receiver; monitoring/receive-oriented.,Commercial,High-end monitoring tools sometimes used by advanced amateurs for WEFAX/NAVTEX/SSTV.
JNX,SSTV / Weather fax,NAVTEX + weather fax,"Windows, Linux (Java)",Java-based decoder for NAVTEX (SITOR-B/FEC) and HF weather fax.,Sound-card audio input; receive-only.,Open-source (free),By IW0HDV. Cross-platform via Java; paired with YaND-style NAVTEX listening.
JVComm32,SSTV / Weather fax,Weather fax + SSTV + NAVTEX/RTTY,Windows,"Multi-mode HF decoder for radiofax (WEFAX), SSTV, NAVTEX, RTTY and synoptic/SITOR modes; strong scheduler for automated fax reception.",Sound-card audio in/out; PTT/rig keying via COM port; supports CAT tuning to fax schedules.,Commercial (shareware),By Eberhard Backeshoff DK8JV. A staple for maritime weather-fax listeners.
JVFAX,SSTV / Weather fax,Weather fax + SSTV,DOS,Classic DOS FAX/SSTV receive and transmit program supporting WEFAX and multiple SSTV modes.,Uses a simple comparator/soundcard interface for audio; serial-port PTT.,Free (legacy),By DK8JV; JVFAX 7.x was ubiquitous in the 1990s and still used on retro setups.
KG-STV,SSTV / Weather fax,Digital SSTV,Windows,"Sound-card digital SSTV system sending standard-size images with error correction; lighter-weight than EasyPal/DRM, popular for HF nets.",Sound-card audio in/out; serial-port or VOX PTT.,Free (freeware),By JJ0OBZ. Runs well under Wine on Linux; common on 20/40 m digital-SSTV nets.
MMSSTV,SSTV / Weather fax,SSTV (analog slow-scan TV),Windows,"The de-facto standard free SSTV RX/TX program; supports Robot, Scottie, Martin, PD, Wraase and many other modes, with template/macro overlays, auto-slant correction, FFT tuning display and history.",Sound-card audio in/out for the SSTV tones; PTT keying via serial (RTS/DTR) or VOX; some CAT/rig helper add-ons for frequency.,Free (freeware),By Makoto Mori JE3HHT. Development frozen but still the most widely used Windows SSTV app; basis for many others.
MSCAN SSTV / MSCAN Meteo,SSTV / Weather fax,SSTV (analog slow-scan TV) + weather fax,Windows,"Color SSTV RX/TX with built-in DSP; the Meteo edition adds HF weather fax, NAVTEX and RTTY decoding.",Sound-card audio in/out; PTT via COM-port keying; CAT rig control for frequency in some builds.,"Commercial (shareware, free limited version)",Long-running product by Mike Bertini; the 'Mscan Meteo' variant is the fax/NAVTEX package.
MultiMode,SSTV / Weather fax,Multimode decoder incl. SSTV + FAX,macOS,"Decodes many modes on the Mac including SSTV, HF FAX, RTTY, NAVTEX, CW and PSK.",Sound-card audio input from the receiver; primarily receive/decode.,Commercial,By Black Cat Systems. A go-to multimode decoder on macOS.
Multiscan / Multiscan 3B,SSTV / Weather fax,SSTV (analog slow-scan TV),macOS,Mac SSTV RX/TX supporting the standard analog modes with templates.,Sound-card audio in/out; serial-port PTT keying.,Free (legacy),By Kok Chen W7AY. Classic Mac OS X SSTV program.
noaa-apt,SSTV / Weather fax,SSTV/Fax (weather satellite APT),Windows / Linux / macOS,Decode NOAA APT weather-satellite images from recordings or live audio,audio from SDR (offline or piped),Open-source,martinber; modern cross-platform alternative to the listed WXtoImg
PC HF Fax / HF Facsimile,SSTV / Weather fax,Weather fax + SSTV,DOS/Windows,Legacy HF fax and SSTV receive package bundled with simple detector interfaces.,Audio via comparator/soundcard interface from the receiver; receive-oriented.,Commercial (legacy),By Software Systems Consulting (N6RCE); sold with 'HamComm-style' detector hardware in the 1990s.
QSSTV,SSTV / Weather fax,SSTV + digital SSTV (HamDRM) + weather fax,"Linux, Raspberry Pi","Receive/transmit analog SSTV, HAMDRM digital SSTV (EasyPal-compatible) and, in recent versions, weather fax; gallery, repeater and template features.",PulseAudio/ALSA sound-card in/out; PTT via serial (COM-port) electronic switch; Hamlib CAT radio control.,Open-source (GPL),By ON4QZ. The standard SSTV app on Linux and Raspberry Pi; interoperates with MMSSTV and EasyPal.
Robot36 - SSTV Image Decoder,SSTV / Weather fax,SSTV (analog slow-scan TV),"Android, Web","Real-time SSTV decoder for Robot, PD, Martin, Scottie and Wraase modes; long popular for decoding ISS/ARISS SSTV events.","Decodes audio from the phone mic held to a receiver's speaker, or via an audio cable from the radio; receive-only.",Open-source (on F-Droid/GitHub),By Ahmet Inan (xdsopl). A companion 'SSTV Encoder' app handles transmit; also has a browser build.
RX-SSTV,SSTV / Weather fax,SSTV (analog slow-scan TV),Windows,"Receive-only SSTV decoder aimed at SWLs and beginners; auto-detects modes, saves images with FTP auto-upload option.","Sound-card audio input only (decode); no transmit, so no PTT.",Free (freeware),By ON4QZ. Popular lightweight companion to a receiver or scanner.
SatSignal / GeoSatSignal / HRPT Reader,SSTV / Weather fax,SSTV/Fax (weather-sat imaging),Windows,"Decode and process APT, HRPT and geostationary weather-satellite imagery",audio/receiver or IF input,Free/Commercial,David Taylor suite
SDRangel (SSTV/APT/HamDRM demods),SSTV / Weather fax,SDR with SSTV + weather-fax plugins,"Windows, macOS, Linux","SDR application whose plugins include an SSTV demodulator, APT (weather-satellite) demod and DRM/DSD digital-voice decoders.","Controls SDR hardware directly (I/Q, tuning, and TX on capable SDRs); decodes images from the received stream.",Open-source (GPL),By Edouard Griffiths F4EXB. Convenient one-app path from RF to SSTV/APT images.
SeaTTY,SSTV / Weather fax,Weather fax + NAVTEX/RTTY,Windows,"Receives weather charts (HF-FAX/WEFAX), NAVTEX, RTTY, PACTOR-1 FEC and NWR SAME using only a receiver and sound card.",Sound-card audio input; receive-only (no radio keying).,Commercial (shareware),By DXsoft (Sergei Podstrigailo). Very popular with boaters for offshore weather.
SkySweeper,SSTV / Weather fax,Multimode decoder incl. WEFAX + SSTV,Windows,"Professional/amateur multimode decoder handling WEFAX, NAVTEX, RTTY, SITOR and image modes.","Sound-card audio input; receive-oriented, with rig-tuning helpers in pro versions.",Commercial,Used by hobbyists and monitoring stations for maritime weather and utility modes.
SSTV Encoder,SSTV / Weather fax,SSTV (analog slow-scan TV),Android,Encodes images to SSTV audio for transmission in many modes; the transmit counterpart to Robot36.,Plays SSTV tones from the phone into the radio's mic (acoustic or audio cable); PTT via VOX.,Open-source,By xdsopl. Pairs with Robot36 for a full Android SSTV station.
"SSTV Slow Scan TV (Black Cat, iOS)",SSTV / Weather fax,SSTV (analog slow-scan TV),iOS (iPhone/iPad),iOS SSTV send/receive app across standard analog modes.,Device audio in/out to the radio; PTT via VOX.,Commercial,Black Cat Systems iOS SSTV title; often used to grab ISS SSTV passes on a handheld.
W95SSTV,SSTV / Weather fax,SSTV (analog slow-scan TV),Windows,"Early Windows sound-card SSTV RX/TX program, predecessor to ChromaPIX.",Sound-card audio in/out; serial-port PTT.,Free/legacy,By Silicon Pixels N7CX. Abandoned but historically important.
Weather Fax 2000,SSTV / Weather fax,Weather fax,Windows,HF radiofax reception and display with scheduling and image processing.,Sound-card audio input from the receiver; receive-oriented.,Commercial,Legacy but still used Windows WEFAX package for marine weather charts.
WEFAX (wojlin),SSTV / Weather fax,Weather fax,"Linux, cross-platform (Python)",Open-source tool for decoding and processing HF weather fax (radiofax) from audio/IQ.,Takes sound-card/recorded audio from a receiver; decode/receive-oriented.,Open-source,Modern GitHub project (wojlin/WEFAX) for scripted/automated fax decoding.
WinPix Pro / WinPix32,SSTV / Weather fax,SSTV (analog slow-scan TV),Windows,Sound-card SSTV send/receive with image editing and mode library.,Sound-card audio in/out; serial-port PTT keying.,Commercial (legacy),By G.V. Associates (Don Rotolo K0HEO). Legacy Windows SSTV package.
WXsat,SSTV / Weather fax,Weather fax (HF + FM/satellite),Windows,Decodes FM facsimile (weather-satellite APT) and HF FAX signals from the sound card.,Sound-card audio input from the receiver; receive-only.,"Free (freeware, legacy)",By Christian Bock DL9RM. Classic tool bridging HF WEFAX and early satellite decoding.
WXtoImg,SSTV / Weather fax,Weather fax / satellite (APT + WEFAX),"Windows, macOS, Linux, Raspberry Pi","Automated NOAA/Meteor APT and WEFAX decoder with recording, map overlays, colour enhancement and 3-D/temperature images.",Sound-card audio input from an FM receiver/SDR; can trigger recording; receive-only.,"Free (freeware; officially defunct, 'restored' builds circulate)","By Craig Anderson. NOAA POES now decommissioned, but still used for archives and Meteor/WEFAX."
APRS-Beacon,Weak-signal digital (FT8/JT/WSPR),APRS tracker/beacon client,Windows,APRS beaconing/tracking on up to four radio ports,"Single-port TNC (native), single/dual-port TNC in KISS, or AGW Packet Engine; PTT via TNC",Free,Multi-radio APRS transmit tool.
Argo,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (QRSS, legacy)",Windows,"High-resolution spectrogram decoder for very slow CW / QRSS, DFCW and MTHell weak-signal LF/MF beacon modes",Sound-card audio input from a receiver (receive/visual decode only),Freeware,By Alberto di Bene I2PHD; classic QRSS visual weak-signal RX tool.
Decodium,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows,WSJT-X-derived program built around the fast FT2 mode for rapid digital QSOs (also FT8/FT4),"CAT rig control, sound-card audio, PTT keying (WSJT-X lineage)",Free,Niche fast-mode experiment in the FT-family; often paired with DecoAlert.
DigiRite,Weak-signal digital (FT8/JT/WSPR),Contest logging (FT8/FT4 digital),Windows,Multi-stream FT8/FT4 contesting front-end integrated with WriteLog,rig control + audio via WriteLog,Free,Kevin Schmidt W9CF; the WriteLog counterpart to N1MM's FT8 support
DigiSkimmer,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8/FT4/WSPR skimmer),Linux / Windows,Multi-band FT8/FT4/WSPR skimmer that decodes many bands at once from KiwiSDR receivers and reports spots,Connects to and tunes networked KiwiSDR receivers (RX only) to pull audio/IQ,Free / Open-source,Used to build wide-coverage digital-mode spotting stations.
Faros,Weak-signal digital (FT8/JT/WSPR),Logging / propagation (beacon monitor),Windows,"Automated NCDXF/IARU HF beacon monitoring; measures SNR, path delay and QSB, plots propagation",audio from RX + CAT rig control (auto-cycles bands via Omni-Rig),Commercial (trial),Alex Shovkoplyas VE3NEA (DX Atlas suite); companion to Rocky/CW Skimmer
FT Ham (FT8/FT4 transceiver),Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, mobile)",iOS / macOS,"Complete FT8/FT4 decoder and audio encoder/transmitter with live waterfall, auto QSO sequencing and ADIF logging, fully offline",Sound-card audio in/out via device audio or a connected radio interface (mic/speaker or line); UTC-aligned TX slots,Commercial (App Store),Requires iOS 16.6+/macOS 13.5+ (Apple-silicon Mac).
FT8 Decoder (Bunzee),Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, mobile)",Android / iOS,"Decodes FT8 traffic in real time from externally provided audio, showing callsigns, reports and SNR",Sound-card/audio input from an SSB or SDR receiver (receive-only; no CAT/TX),Free / Freemium,Same developer as FT8 Radio; also a related 'ft8d' command-line decoder exists.
FT8 Radio (Bunzee),Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, mobile)",Android,Receive-and-transmit FT8 app aimed at portable operation,Sound-card audio to/from the rig via an interface (or acoustic/VOX); works with an external SSB/SDR radio,Free (commercial developer),By the Bunzee/DigitalRadioReceiver developer; companion to their FT8 Decoder app.
FT8AF,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, mobile)",Android,"Native Android FT8/FT4/FT2 app: decode the band, full auto-sequence, map QSO paths, POTA-oriented workflow",Drives the radio over USB CAT; sound-card audio via USB interface or device audio,Free / Open-source,"Positioned as a native, portable FT8 station for phones/tablets."
FT8CN,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, mobile)",Android,Full FT8 (and FT4) decode/transmit application for phones and tablets with logging and QSO auto-sequencing,"CAT rig control over USB-serial, Bluetooth or WiFi/network; audio via device mic/speaker (VOX) or a USB-C sound interface (e.g. DigiRig); PTT via CAT",Free / Open-source,By BG7YOZ (mirrored by N0BOY); the most popular way to run FT8 from an Android device with a real radio.
ft8modem,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, command-line)",Linux,Command-line software modem for FT8 exposing a simple interface for scripted/automated FT8 TX and RX,Sound-card audio in/out and PTT keying to a connected transceiver,Free / Open-source,By KK5JY; used to build custom/automated FT8 stations.
ft8mon,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, command-line)",Linux / macOS,Command-line FT8 monitor/decoder that prints decodes from a live audio or SDR stream,Reads sound-card audio or an SDR (e.g. RTL-SDR/receiver) input for decoding (RX),Free / Open-source,By Robert Morris AB1HL; its decoder code is reused in several other FT8 projects.
GridTracker,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / macOS / Linux / Raspberry Pi,Visual companion for WSJT-X/JS8Call showing worked grids/spots on a map and providing logging and rig actions.,Reads/sends UDP to the digital engine and can control the radio via Hamlib rigctld to change frequency/band from the map.,Free / Donationware (open-source),The classic FT8 map/companion with optional direct Hamlib rig control.
GridTracker2,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / macOS / Linux / Raspberry Pi,"Rewritten next-generation GridTracker with expanded mapping, logging and station-control features.",Same UDP bridge to WSJT-X plus Hamlib/rigctld control to tune the transceiver from spots.,Free / Donationware (open-source),Successor to GridTracker; modernized UI and integrations.
JS8Call,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (keyboard chat),Windows / macOS / Linux / Raspberry Pi,"Keyboard-to-keyboard weak-signal messaging using the JS8 protocol (derived from FT8) — real-time chat, relays, store-and-forward, APRS gateway","Hamlib CAT rig control, sound-card audio in/out, PTT via CAT/RTS/DTR/VOX",Free / Open-source (GPLv3),By Jordan KN4CRD; originally 'FT8Call'. Widely used for EmComm/off-grid text over HF.
JT65-HF,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (JT65),Windows,Original standalone transmit/receive of JT65A weak-signal mode on HF,CAT rig control + audio (sound card) + PTT,Free,"Joe Large W6CQZ; the program that popularized JT65 on HF before WSJT-X; historically significant, still referenced"
JT65-HF HB9HQX Edition,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (JT65),Windows,"Enhanced JT65-HF fork with jt65v2 protocol, multi-decoder and logger integrations",CAT + audio + PTT,Free/Open-source,Beat Oehrli HB9HQX fork; logs to DXKeeper/HRD/JT65-Log; distinct from the W6CQZ original
JTAlert,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows,"Alerting/decode-management companion to WSJT-X/JTDX that adds callsign alerts, logging bridges and rig-frequency actions.",Bridges to the radio through WSJT-X (which controls the rig via Hamlib/OmniRig); can trigger frequency/mode changes and works with DXLab Commander for CAT.,Free (donationware),By Laurie Cowcher VK3AMA; touches the rig indirectly via the digital-mode engine.
