Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
KGKSDR (M0KGK SDR Decoder/Display),SDR,Soundcard IQ input (SoftRock) with CAT tuning of the front-end LO (Si570).,"In KGKSDR's setup select the soundcard IQ input and configure CAT to the front-end local oscillator (Si570); receive AM/FM, with CW/SSB TX via SoftRock.",Soundcard IQ input; audio output / virtual audio cable; IQOUT provides configurable IQ output for testing.,n/a for AM/FM RX; CW/SSB TX supported with SoftRock (keyer needs ASIO).,n/a,needs a SoftRock/soundcard receiver,M0KGK SDR decoder/display.,confirmed,KGKSDR (M0KGK),https://m0kgk.co.uk/sdr/,"Confirmed against m0kgk.co.uk/sdr. Soundcard-IQ SDR (Duncan M0KGK) working with SoftRock hardware, with CAT tuning of the front-end LO (Si570); RX for AM/FM plus CW/SSB TX (an M0KGK SDR Transceiver build), so 'limited SoftRock TX' is correct."
KISS Konsole,SDR,Native control of early HPSDR boards (Ozy/Magister + Mercury/Penelope).,Connects directly to the HPSDR board (Metis/Ozy over Ethernet); a minimal early console with no external CAT.,Soundcard output.,TX via HPSDR (Penelope) if fitted; PTT button in the console.,Drive slider for TX-capable boards.,needs early HPSDR hardware,PowerSDR-derived minimal HPSDR console (Phil Covington N8VB).,confirmed,KISS Konsole (openHPSDR wiki),https://openhpsdr.org/wiki/index.php?title=KISS_Konsole,"Confirmed against the openHPSDR wiki. KISS Konsole (Phil Harman VK6PH, C#/TAPR) natively controls early HPSDR boards (Ozy/Magister interface + Mercury RX; Penelope TX added later to make it a full transceiver). PTT button in the console."
KiwiSDR,SDR,"Controls the KiwiSDR front-end (BeagleBone cape); browser-based, multichannel.",Runs as a web server on the Kiwi - each browser session tunes its own channel via the web UI; the admin page (kiwisdr.local/admin) configures the device. No transceiver CAT (RX only).,Audio delivered in-browser (and via kiwiclient / a virtual audio cable for decoding).,n/a - receive only,n/a,needs KiwiSDR hardware; kiwiclient/VAC to pipe to decoders,"Public web-SDR platform, independent channels per user.",confirmed,KiwiSDR GitHub (jks-prv/Beagle_SDR_GPS),https://github.com/jks-prv/Beagle_SDR_GPS,"Confirmed against the KiwiSDR project (jks-prv). BeagleBone cape (VLF-HF), browser-based, up to 8 simultaneous users each tuning an independent channel; admin page (kiwisdr.local/admin) configures the device. Receive only, no transceiver CAT."
Langstone,SDR,Native control of a LimeSDR/PlutoSDR as a full transceiver (VHF through microwave) on a Raspberry Pi.,Langstone runs on a Raspberry Pi configured for the Lime/Pluto (build script asks which); tuning is via its own rotary/UI. No external CAT.,Uses the Pi/CODEC audio for SSB/FM voice; I/Q to the SDR.,"PTT via a Pi GPIO input (pin 11 / GPIO17, grounded = TX); TX-active output on pin 40 for relays/amps.",Set the TX gain/drive in the Langstone config to stay linear into the PA (microwave SSB/FM).,needs a LimeSDR/PlutoSDR + Raspberry Pi (+ PA for the band),G4EML open microwave transceiver project.,confirmed,Langstone GitHub (g4eml),https://github.com/g4eml/Langstone,"Confirmed against the Langstone repos (G4EML). Full transceiver on a LimeSDR/PlutoSDR + Raspberry Pi (VHF-microwave); tuning via its own UI; PTT via a Pi GPIO input (GPIO17/pin11), TX-active out on pin 40, plus band-select outputs. No external CAT."
linHPSDR,SDR,Native HPSDR/ANAN control for RX/TX; exposes CAT over TCP and integrates with Hamlib/rigctl for external apps.,linHPSDR (Linux) discovers the HPSDR/ANAN board on Ethernet; configure it in the Radio menu. A Hamlib/rigctl bridge (per-receiver CAT over TCP) lets external apps control it.,ALSA/PulseAudio via PortAudio; local mic for TX; loopback/VAC-equivalent for digital.,Full TX - PTT via the HPSDR MOX bit / CAT / footswitch.,Drive/level slider to rated power; ANAN internal leveling.,needs HPSDR/ANAN hardware,John Melton G0ORX Linux HPSDR client.,confirmed,linHPSDR GitHub (g0orx),https://github.com/g0orx/linhpsdr,"Confirmed against g0orx/linhpsdr. Linux HPSDR/ANAN control (Protocol 1/2, up to 7 RX + 1 TX) over Ethernet, GTK+3/WDSP; PortAudio audio; exposes a CAT interface over TCP per receiver and integrates with Hamlib/rigctl so external apps can control it; TX via PTT/MOX."
Maia SDR,SDR,Runs on the ADALM-Pluto and controls its AD936x front-end (RX; I/Q recording) - no transceiver CAT.,Web UI hosted on the Pluto: set frequency and sample rate in the browser (AD936x controlled via IIO sysfs). No transceiver CAT (monitoring/recording).,Browser audio and IQ recording (SigMF) on the Pluto; no soundcard picker.,n/a - RX-focused,n/a,needs an ADALM-Pluto,Daniel Estévez FPGA-accelerated spectrum + I/Q recorder.,confirmed,Maia SDR (maia-sdr.org),https://maia-sdr.org/,"Confirmed against maia-sdr.org / the repo (Daniel Estevez). FPGA firmware on the ADALM-Pluto with a web UI (waterfall up to 61.44 Msps, IQ recording to SigMF); controls the AD936x (LO/sample rate/bandwidth/AGC) via IIO sysfs. RX/monitoring, no transceiver CAT."
MiniTioune,SDR,USB control of the MiniTiouner NIM tuner (Serit/Sharp) - it IS the DVB-S/S2 DATV receiver; no transceiver CAT.,"In MiniTioune (F6DZP) select the MiniTiouner USB device and set RX frequency, symbol rate and LNB LO offset. No separate rig CAT.",Decoded DVB-S/S2 transport stream to PC video/audio; no rig soundcard.,n/a - receive only,n/a,needs MiniTiouner (Serit NIM) hardware,F6DZP DATV receiver software.,confirmed,BATC Wiki - MiniTioune software,https://wiki.batc.org.uk/MiniTioune_software,"Confirmed against BATC Wiki and vivadatv.org (F6DZP). Windows-only, hosted on the VivaDATV forum."
OpenHPSDR-PowerSDR (mRX PS),SDR,"Native control of HPSDR/ANAN over Ethernet (original openHPSDR 'Protocol 1'); full RX/TX, PTT and Kenwood/TS-2000-style CAT emulation.","Setup > CAT Control: check Enable CAT, pick one port of a virtual COM pair + baud. A separate virtual-serial driver (com0com / N8VB vCOM) must be installed; no flow control. Board is auto-discovered on the LAN.",Setup > Audio (VAC tab): a virtual audio cable for digital modes; local mic for phone.,Full TX - MOX / PTT / CAT / foot-switch.,Raise the TX Drive slider to rated power watching the drive/ALC meter; ANAN has internal leveling.,needs HPSDR/ANAN hardware; virtual audio cable for digital modes,Windows OpenHPSDR PowerSDR mRX PS.,confirmed,TAPR OpenHPSDR-PowerSDR (source + CAT Command Reference),https://github.com/TAPR/OpenHPSDR-PowerSDR,Confirmed. CAT requires an external virtual-COM emulator; emulation is TS-2000/Kenwood per the PowerSDR CAT Command Reference. Protocol 2 radios need Thetis instead.
OpenWebRX+,SDR,Same hardware control as OpenWebRX - RTL/Airspy/SDRplay/HackRF etc. via SoapySDR/native drivers; receive-only.,"In the web admin add SDR device profiles (device args, gain, band/frequency profiles); browser clients tune within them. No transceiver CAT.","In-browser audio; extensive server-side digimode/decoder set is built in (POCSAG, FT8, SSTV, ADS-B, HFDL, etc.).",n/a - receive only,n/a,needs a supported SDR on the host,Enhanced OpenWebRX fork with extra decoders.,confirmed,OpenWebRX+ (luarvique) GitHub / home page,https://github.com/luarvique/openwebrx,Confirmed against luarvique fork docs and the OpenWebRX+ home page.
Perseus software,SDR,Native USB control of the Perseus HF direct-sampling SDR; can share tuning with external software.,In the Perseus app select the Perseus unit and tune/wideband-record. External software follows it via Microtelecom's interfaces: virtual audio ports + a virtual serial/COM (receiver-emulation) port and the Perseus SDR Developer Kit.,Soundcard output; virtual audio cable to decoders.,n/a - receive only,n/a,needs Perseus hardware; OmniRig for external rig sync optional,Microtelecom Perseus receiver.,corrected,Microtelecom / Perseus SDR official site,https://microtelecom.it/en,"Corrected: Microtelecom documents the third-party interface as virtual audio + virtual communication ports + the SDR Developer Kit. OmniRig is a generic third-party rig-control layer used by apps like SDR-Radio, not Perseus's own native output mechanism - the original 'exposes CAT via OmniRig' phrasing is imprecise."
PhantomSDR / PhantomSDR-Plus,SDR,Native control of RX888 MkII and other wideband SDRs (also RTL-SDR/Airspy); browser-based massively-multiuser WebSDR server. Receive-only.,"A TOML config file (e.g. config.toml / config-rx888mk2.toml) sets the SDR device, input sample rate and IQ bandwidth; the web server serves clients, each browser tuning independently. No transceiver CAT.","In-browser audio, per-user channels.",n/a - receive only,n/a,needs an RX888 MkII (or similar) wideband SDR,Web-SDR server for wide-bandwidth receivers.,confirmed,PhantomSDR-Plus GitHub Wiki,https://github.com/Steven9101/PhantomSDR-Plus/wiki,Confirmed against the PhantomSDR-Plus wiki/INSTALL (Steven9101 / ny4qphil forks); device + sample rate live in the .toml.
piHPSDR,SDR,Native HPSDR/ANAN control over Ethernet for RX/TX/PTT/CW; can also act as a Hamlib (rigctl) server for other apps.,piHPSDR discovers the board on the LAN; radio config is in its menus. Menu > RIGCTL: enable CAT and set the RigCtl TCP port (e.g. 19090) so loggers/digital apps control it.,Local audio / USB CODEC (or Pi audio); loopback/VAC-equivalent for digital.,Full TX - PTT/MOX/foot-switch/CW keying.,TX Drive slider to rated power; ANAN internal leveling.,needs HPSDR/ANAN hardware,John Melton G0ORX standalone controller (often on a Pi).,confirmed,piHPSDR (DL1YCF) source + User Manual,https://github.com/dl1ycf/pihpsdr,Confirmed against DL1YCF's piHPSDR User Manual and source. CAT enable + port is in the RIGCTL menu.
Portable SDR (PSDR),SDR,"Standalone open-source HF SDR transceiver (Michael/Mike Colton, KE7HIA); onboard firmware controls its own RX/TX front-end and keys transmit directly. Also has VNA/antenna analyzer + GPS.",n/a - self-contained portable transceiver; tune with its own controls. No PC CAT.,Built-in mic/speaker/headphone; no external soundcard.,Onboard PTT keys TX directly.,Firmware-managed TX level; no external ALC control.,none — self-contained hardware,Michael Colton's open-source portable SDR transceiver.,confirmed,PortableSDR (PSDR) GitHub / Hackaday.io,https://github.com/MichaelRColton/PSDR,"Confirmed against the PSDR project (github MichaelRColton/PSDR, Hackaday.io). Fully stand-alone, no computer needed."
Portsdown (BATC),SDR,Drives a LimeSDR or ADALM-Pluto for DATV TX and a MiniTiouner/PicoTuner (or Knucker for DVB-T) for RX. Not a transceiver-CAT app.,"On the Portsdown (Raspberry Pi) touchscreen/menus select the TX SDR (Lime/Pluto), frequency, symbol rate, FEC and mode; RX via the MiniTiouner ('Rx' menu). No transceiver CAT.","Transport-stream/encoder audio for DATV, not rig soundcard audio.",PTT/TX from the touchscreen or GPIO keys the SDR + PA.,Set RF drive/gain in the menu for a linear PA - DATV must be backed off from compression for shoulder/MER performance (not an SSB-ALC rule).,needs LimeSDR/Pluto + MiniTiouner + PA on a Raspberry Pi,BATC DATV transceiver system.,confirmed,BATC Wiki - The Portsdown Transmitter,https://wiki.batc.org.uk/The_Portsdown_Transmitter,Confirmed against BATC Wiki (Portsdown 4 / The Portsdown Transmitter). Pluto max ~1 MS SR; LimeSDR/LimeDVB for higher SRs.
Pothos / PothosSDR (Pothos Flow),SDR,SoapySDR - controls Soapy-supported devices for RX/TX inside a graphical dataflow. Not a CAT app.,Not CAT: place SDR Source/Sink blocks in the flowgraph and set SoapySDR device args + frequency/sample-rate on the block.,Audio blocks route to the soundcard or file.,TX via an SDR Sink block for TX-capable SDRs.,Sink gain sets the TX level (no ALC).,needs any SoapySDR device,GNU-Radio-like dataflow framework.,confirmed,Pothosware PothosSDR Wiki (Tutorial),https://github.com/pothosware/PothosSDR/wiki/Tutorial,Confirmed against the PothosSDR/PothosSoapy wiki and tutorial.
PowerSDR,SDR,Native control of FlexRadio hardware (legacy Flex-1500 via USB; Flex-3000/5000 via FireWire) with full RX/TX + Kenwood-style CAT emulation.,Setup > CAT Control: enable and assign a virtual COM pair + baud (com0com); external apps control the radio via CAT.,Setup > Audio (VAC tab): create two Virtual Audio Cable cables for digital; local mic for phone.,Full TX - MOX/PTT/CAT/foot-switch.,Raise the Drive slider to rated power; Flex internal ALC/leveling applies.,needs legacy FlexRadio hardware; virtual audio cable for digital,Original FlexRadio PowerSDR.,confirmed,FlexRadio Helpdesk (PowerSDR VAC/CAT setup),https://helpdesk.flexradio.com/hc/en-us/articles/206605196-How-to-Setup-Virtual-Audio-Cable-VAC-4-0x-with-PowerSDR,Confirmed against FlexRadio helpdesk articles (VAC + CAT with com0com). Flex-1500 is USB; Flex-3000/5000 are FireWire.
PowerSDR (mRX PS / OpenHPSDR),SDR,Native control of HPSDR/ANAN hardware for RX/TX over Ethernet (Protocol 1); provides CAT + virtual audio for external programs.,Setup > CAT Control: check Enable CAT and assign one port of a virtual COM pair + baud (com0com / N8VB vCOM) so external apps drive the radio via TS-2000/Kenwood-style CAT. Board auto-discovered on the LAN.,Setup > Audio (VAC): a virtual audio cable for digital; local mic for phone.,Full TX - MOX/PTT/CAT/foot-switch.,TX Drive slider to rated power watching the meter; ANAN internal leveling.,needs HPSDR/ANAN hardware; virtual audio cable for digital,HPSDR/OpenHPSDR variant of PowerSDR (same as OpenHPSDR-PowerSDR mRX PS).,confirmed,TAPR OpenHPSDR-PowerSDR,https://github.com/TAPR/OpenHPSDR-PowerSDR,Same software family as the OpenHPSDR-PowerSDR mRX PS entry above; confirmed against TAPR source.
Qt-DAB,SDR,Native control of RTL-SDR/SDRplay/Airspy/HackRF/LimeSDR front-ends for DAB/DAB+. Receive-only.,Select the SDR device in the device dropdown (auto-detected if configured) and set per-device gain (default 80/100); no transceiver CAT.,Decoded DAB audio to the PC output (default output device); audio dumping available.,n/a - receive only,n/a,needs a supported SDR,DAB/DAB+ decoder (Jan van Katwijk).,confirmed,Qt-DAB (JvanKatwijk) GitHub,https://github.com/JvanKatwijk/qt-dab,Confirmed against Qt-DAB README and the PDF user's guide in the source tree (JvanKatwijk).
Quisk,SDR,Operates the SDR hardware for RX/TX/PTT and provides a Hamlib (rigctl) server so digital apps can control it.,Hardware type is set in quisk_conf.py / the Config screen. Enable the Hamlib server on the 'Remote' config screen; external apps use 'Hamlib NET rigctl' to localhost port 4532 (or 4575 with an external rigctld).,Config > Sound: select capture/playback devices (or a virtual audio cable); local mic for TX.,"TX-capable - PTT via CAT/serial/keyboard, keying the SDR/hardware.",Set the TX level slider in Quisk; keep drive within the exciter/PA's linear range.,needs a Quisk-supported SDR (SoftRock/Hermes-Lite2/etc.); virtual audio cable for digital,Jim Ahlstrom N2ADR SDR transceiver software.,confirmed,Quisk documentation (James Ahlstrom N2ADR),https://james.ahlstrom.name/quisk/docs.html,Confirmed against Jim Ahlstrom (N2ADR) docs; Hamlib port default 4532 is set on the Remote screen.
RF Analyzer,SDR,Android app that directly controls SDR receivers (RTL-SDR/HackRF/Airspy/Airspy HF+/HydraSDR) over USB-OTG. Receive/analyzer.,In the app's source settings pick the USB SDR and set gains/sample rate; no transceiver CAT.,Demodulated audio (AM/FM/SSB) to the phone's output; can record raw IQ.,n/a - receive only,n/a,needs a USB-OTG SDR + Android phone,Android spectrum analyzer/receiver (Dennis Mantz).,confirmed,RF Analyzer manual (Dennis Mantz),https://demantz.github.io/RFAnalyzer/,Confirmed against the RF Analyzer manual (demantz.github.io) and GitHub (Dennis Mantz).
Rocky,SDR,Soundcard I/Q plus CAT/Si570 tuning of SoftRock kits; keys PTT for TX.,In Rocky's settings select the receive soundcard for I/Q input and the audio output; configure CAT/Si570 (USB) tuning. Do not enable Transmit until RX/IQ is correct.,Soundcard I/Q input / audio output; TX audio via the soundcard.,"PTT via serial RTS/DTR, or via the SoftRock Si570 USB interface (which also adds CW paddle/PTT).","Soundcard-level TX drive - keep audio low; a SoftRock has no ALC, so set output within its linear range.",needs a SoftRock RX/TX kit; virtual audio cable optional,Alex Shovkoplyas VE3NEA (older SoftRock SDR).,confirmed,"Rocky (Alex Shovkoplyas VE3NEA, DX Atlas)",http://www.dxatlas.com/Rocky/,Confirmed against VE3NEA's Rocky page and SoftRock/G4ZFQ setup notes.
rsp_tcp,SDR,Controls an SDRplay RSP and streams I/Q over the network (rtl_tcp-compatible). No transceiver CAT.,Command line: rsp_tcp -a <ip> -p <port> -f <freq> ...; rtl_tcp-compatible clients connect over the network. Standard mode mimics rtl_tcp; extended mode exposes full RSP/14-bit features. No CAT.,n/a - raw I/Q over TCP; the client decodes.,n/a - receive only,n/a,needs an SDRplay RSP + a client (SDR++/CubicSDR/etc.),rtl_tcp-style network server for the RSP.,confirmed,rsp_tcp (F4FHH) / SDRplay RSP TCP Server,https://github.com/f4fhh/rsp_tcp,Confirmed. 'rsp_tcp' is the F4FHH port; SDRplay also ship an official RSPTCPServer with a PDF user guide.
"rtl-sdr command-line tools (rtl_fm, rtl_tcp, rtl_power, rtl_sdr, rtl_test)",SDR,Directly control RTL-SDR dongles via librtlsdr. No transceiver CAT.,"Command line: -d device index, -f frequency, -g gain, -s sample rate; rtl_tcp serves I/Q on the network. No CAT.",rtl_fm pipes demodulated audio to stdout/soundcard (aplay/sox); the others output I/Q or data.,n/a - receive only,n/a,needs an RTL-SDR dongle; downstream tools (aplay/sox/multimon-ng),Osmocom rtl-sdr utility suite.,confirmed,Osmocom rtl-sdr project wiki,https://osmocom.org/projects/rtl-sdr/wiki,Confirmed against the Osmocom rtl-sdr project (original librtlsdr toolset).
RTL1090,SDR,Controls an RTL-SDR tuned to 1090 MHz (ADS-B Mode-S). No transceiver CAT.,In the RTL1090 GUI select the RTL device and gain; it stays tuned to 1090 MHz. No CAT.,n/a - I/Q demodulated to Mode-S messages.,n/a - receive only,n/a,needs an RTL-SDR; a map front-end (adsbScope/Virtual Radar) optional,Windows ADS-B decoder.,confirmed,RTL1090 (Jetvision),https://rtl1090.com/,Confirmed - Jetvision/Günter Köllner ADS-B decoder for RTL-SDR.
rtl_433,SDR,Tunes and controls an RTL-SDR (and SoapySDR devices) for ISM-band capture. No transceiver CAT.,"Command line: -d device (index/serial/SoapySDR query/rtl_tcp), -f frequency (default 433920000 Hz), -s sample rate. No CAT.",n/a - I/Q demodulated to decoded ISM device messages (JSON/MQTT/etc.).,n/a - receive only,n/a,needs an RTL-SDR (or a SoapySDR device),ISM-band sensor/device decoder.,confirmed,rtl_433 (merbanan) GitHub,https://github.com/merbanan/rtl_433,"Confirmed against merbanan/rtl_433 docs (STARTING.md, man page)."
rtl_tcp SDR (iOS),SDR,none (receive-only) - native rtl_tcp network control of a remote RTL-SDR; no CAT to a conventional transceiver,n/a - not a CAT app. You enter the host IP + TCP port (default 1234) of the rtl_tcp server that the RTL-SDR is attached to; tuning/gain commands are sent over that TCP link.,n/a - demodulated audio plays on the iOS device speaker/headphones; no sound-card routing,n/a - receive only,n/a - receive only,needs an rtl_tcp server (rtl_tcp running on a PC/Pi/network dongle) that shares the RTL-SDR over the network,"iOS blocks direct USB SDRs, so the dongle must be exposed over the network via rtl_tcp; RX-only tuner app",confirmed,rtl_tcp / RTL-SDR network-control documentation,,Confirmed - an rtl_tcp client is RX-only over TCP; no rig CAT. No single official app URL cited.
SatNOGS (satnogs-client / gr-satnogs),SDR,Hamlib rigctld for the radio + Hamlib rotctld for the rotator; SDR handled by gr-satnogs/GNU Radio/SoapySDR,Set in satnogs-client config via satnogs-setup: SATNOGS_RIG_IP/SATNOGS_RIG_PORT point at a running rigctld; the SDR is chosen with SATNOGS_SOAPY_RX_DEVICE (driver=<name>) plus gain/PPM. rigctld and rotctld run as systemd services.,n/a - IQ flows straight from the SDR into GNU Radio flowgraphs that demod/decode; no PC sound-card device is selected,n/a - receive-only ground station (no TX),n/a - receive only,"needs rigctld (Hamlib) + rotctld running, a SoapySDR-supported dongle, and connection to the SatNOGS network for scheduling",Automated satellite ground station; Doppler correction is applied by pushing frequency updates to rigctld during each scheduled pass,confirmed,SatNOGS Client User Guide,https://docs.satnogs.org/projects/satnogs-client/en/stable/userguide.html,"Confirmed: rigctld + rotctld + SoapySDR (SATNOGS_SOAPY_RX_DEVICE) set through satnogs-setup, verified."
SDR Console (SDR-Radio v3),SDR,native SDR hardware control (RX/TX) plus external-transceiver CAT via built-in External Radio drivers or Omnirig; exposes CAT to other apps via virtual serial ports,"Enable External Radio (ribbon > More Options), which adds the External Radio pane to the Receive DSP panel: pick radio model, COM port, baud, and tick control-the-rig / control-the-SDR; or select Omnirig Settings (e.g. TS-2000 emulation, the 2nd port of a VSP pair). To feed other software, create a virtual COM pair (e.g. VSP Manager) and point SDR Console's CAT output at it.",Options > Audio (or per-receiver): select the output device; route to a Virtual Audio Cable to feed WSJT-X/fldigi,"On TX-capable SDRs, PTT is via the SDR's own transmit; on hybrid setups, the linked CAT rig's PTT; digital apps key over the virtual CAT/audio",For TX SDRs use the TX drive/gain - raise to rated output without overdriving the DAC/PA (no analog ALC needle); RX-only setups n/a,Virtual Audio Cable + a virtual serial-port pair (com0com/VSPE) to bridge to digital apps; Omnirig optional,Simon Brown's console; also includes a networked remote-radio server,confirmed,SDR-Radio.com - External Radio Synchronisation,https://www.sdr-radio.com/external-radio,"Confirmed: External Radio pane (model/COM/baud + control-rig/control-SDR) or Omnirig, plus virtual COM/VAC for third-party apps."
SDR Console (SDR-Radio.com),SDR,native control of a broad range of RX and RX/TX SDRs plus CAT control of conventional transceivers (built-in External Radio drivers or Omnirig); built-in remote server,"Home/View > External Radio: pick manufacturer/model, COM port, baud, tick control-the-radio / control-the-SDR; or use Omnirig. Output to other apps via a virtual serial pair.",Options > Audio: choose the playback device; route to a Virtual Audio Cable for digital apps,TX SDRs key via their own transmit; a linked CAT radio's PTT in hybrid setups; digital apps trigger via virtual CAT,TX SDRs: raise TX drive/gain gradually to rated output cleanly (no analog ALC); RX-only n/a,Virtual Audio Cable + virtual serial pair for digital apps; Omnirig optional,Current name of the same product family as v3; includes SmartLink-style networked remote radio,confirmed,SDR-Radio.com - External Radio / Serial Port (CAT),https://www.sdr-radio.com/SerialPort,Confirmed - same product as the v3 entry; External Radio (or Omnirig) + virtual serial/VAC verified.
SDR Touch,SDR,native USB-OTG control of RTL-SDR/NeSDR/SDRplay/HackRF (Android); no CAT to an external rig,n/a - tuning is done in-app; you grant USB permission to the dongle when it is plugged in via OTG.,n/a - demod audio plays on the phone; no sound-card routing,n/a - receive only,n/a - receive only,USB OTG cable; the RTL-SDR driver app is bundled,Android RX-only tuner (FM/AM/NFM/SSB),confirmed,SDR Touch (Martin Marinov) documentation,,Confirmed - Android RX app driving the dongle over USB-OTG; no rig CAT. No stable official URL cited.
SDR# (SDRSharp),SDR,native front-end control (Airspy/RTL/HackRF/SDRplay etc.); external-transceiver sync via plugins (Omnirig or a serial CAT plugin such as CalicoCAT) plus a PTT plugin,"Add the Omnirig (or CalicoCAT/serial CAT) plugin, then configure the rig in Omnirig (model, COM, baud) so SDR# tracks/tunes the transceiver; CalicoCAT can use separate COM ports for CAT and PTT.",Audio panel: choose the output device and driver (MME/WASAPI/ASIO); route to a Virtual Audio Cable to feed digital-mode apps,Via a PTT plugin or the linked rig's CAT; SDR# itself is RX for typical dongles,n/a for RX dongles,Omnirig for external-rig sync; Virtual Audio Cable to feed WSJT-X/fldigi; community plugins,Plugin-driven receiver/panadapter,confirmed,Airspy SDR# / Omnirig & CAT plugins (rtl-sdr.com),,Confirmed: CAT sync is plugin-based (Omnirig or CalicoCAT); core SDR# is RX. No single official docs URL for the third-party plugins.
SDR++,SDR,"native SDR control via source modules (RTL/Airspy/HackRF/SDRplay/SpyServer/rtl_tcp etc.); external-rig sync via the built-in Rigctl Server module - a matching Rigctl Client is limited/absent, so the third-party RigSync (Hamlib rigctl client) module is commonly used","Enable the Rigctl Server module (lets other apps/rigctld clients control SDR++, e.g. GPredict; set the listen port). To have SDR++ FOLLOW an external rig bidirectionally, add the third-party RigSync module and point it at a rigctld host/port - SDR++'s own client capability is basic.",Audio Sink module selects the output device; route to a Virtual Audio Cable for digital apps,n/a for typical RX SDRs,n/a,rigctld/Hamlib for external-rig sync; Virtual Audio Cable for digital apps,Cross-platform; can act as a SpyServer/rtl_tcp client,corrected,AlexandreRouma/SDRPlusPlus (+ RigSync module),https://github.com/AlexandreRouma/SDRPlusPlus,Corrected: the mature built-in module is the Rigctl SERVER (SDR++ is controlled by others). A built-in Rigctl Client to drive/follow an external rig is limited; users add the third-party RigSync module for bidirectional sync. The claim implied both client and server are full built-ins.
SDR-J,SDR,native control of RTL-SDR/SDRplay/Airspy front-ends; no external-rig CAT,"n/a - the device is selected in the app; SDR-J is a DAB/DAB+/FM receiver suite, not a CAT controller.",in-app audio-output selection (decoded DAB/FM audio to a sound device),n/a - receive only,n/a,none (device drivers only),Jan van Katwijk's suite (DAB/DAB+/FM receivers); RX-only,confirmed,SDR-J (Jan van Katwijk) documentation,,"Confirmed - DAB/FM RX suite, no rig CAT. No single stable official URL cited."
SDRangel,SDR,native SDR hardware for RX/TX and PTT; can be controlled by external apps via the Rig Ctl Server feature (Hamlib rigctld protocol),"Enable the Rig Ctl Server feature to EXPOSE CAT to other software (device set R0, channel index, TCP port default 4532) - e.g. so GPredict can Doppler-tune SDRangel. The SDR device itself is chosen in the sampling-device dialog.",per-channel audio device selection in each demod plugin; route to a Virtual Audio Cable for digital apps,For TX-capable SDRs (HackRF/LimeSDR/PlutoSDR/BladeRF/USRP) TX/PTT is via the TX channel's start/stop; no external key needed,On TX set interpolation/channel gain to reach rated output without clipping the DAC (no analog ALC),Virtual Audio Cable for digital apps; none mandatory,Multi-channel RX/TX SDR framework with many demods/mods,confirmed,SDRangel - RigCtl Server plugin readme (f4exb),https://github.com/f4exb/sdrangel/blob/master/plugins/feature/rigctlserver/readme.md,"Confirmed, with clarification: the Rig Ctl Server makes SDRangel controllable BY other apps (server-side), rather than SDRangel controlling an external rig - the claim's 'control external rigs' is slightly misleading."
SDRconnect,SDR,native control of SDRplay RSP devices (local or over the network); external-transceiver sync via Omnirig (Rig Control panel),"Rig Control / Omnirig (ORIG) settings: enable Omnirig and tick control-the-rig and/or control-the-SDR; Omnirig itself holds the rig model/COM/baud (start Omnirig first, as admin if needed).",Audio settings select the output device; route to a Virtual Audio Cable for digital apps,n/a - RSP receivers are RX-only (PTT handled by the linked CAT rig if present),n/a,Omnirig for external-rig sync; Virtual Audio Cable for digital apps,SDRplay's newer cross-platform client with a built-in server for remote RSP access,confirmed,SDRplay - SDRconnect / Rig Control,https://www.sdrplay.com/sdrconnect/,Confirmed: SDRconnect adds Omnirig-based rig control (as in the SDRuno pattern) atop native RSP control; RSP is RX-only.
SdrDx,SDR,"native control of RFSpace SDR-IP/NetSDR, RTL-SDR and soundcard front-ends; limited external CAT","Device chosen in config (network IP for SDR-IP/NetSDR, or soundcard/RTL); it is a receiver app, not a CAT hub for third-party rigs.",config selects the audio output device; Virtual Audio Cable to feed decoders,n/a - receive only,n/a,Virtual Audio Cable for external decoders,Mac/Windows receiver app,confirmed,SdrDx manual (fyngyrz / AB1JX),,"Confirmed - RFSpace/RTL/soundcard receiver, RX-only. No stable official URL cited."
SdrGlut,SDR,native control of any SoapySDR device (RTL/Airspy/HackRF/LimeSDR etc.),n/a - device selected via SoapySDR in the app; not a CAT controller.,in-app audio output; Virtual Audio Cable for decoders,n/a - receive oriented,n/a,SoapySDR; Virtual Audio Cable for decoders,Mac/OpenGL SDR receiver (CubicSDR lineage),confirmed,righthalfplane/SdrGlut documentation,https://github.com/righthalfplane/SdrGlut,"Confirmed - SoapySDR receiver, no rig CAT."
SDRTrunk,SDR,native tuner control (RTL/Airspy/HackRF/SDRplay); follows control channels and tunes voice grants within the SDR's bandwidth,"Tuner is added/configured in-app (device, sample rate, PPM); no external-rig CAT.",the audio/playback config selects the output device for decoded calls,n/a - receive only,n/a,none; optionally streams to Rdio Scanner/Broadcastify,Trunk-tracking decoder (P25 etc.),confirmed,DSheirer SDRTrunk wiki,https://github.com/DSheirer/sdrtrunk/wiki,"Confirmed - trunk-tracking RX decoder; tuner configured in-app, no rig CAT."
