Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Ten-Tec,Argonaut VI (539),QRP HF transceiver,HF 160-10m,"Single USB cable to the rig's built-in USB port (virtual COM) for CAT (native Ten-Tec/Orion-style protocol, same driver as the Eagle 599). No built-in audio codec, so add a sound-card interface for digital-mode audio.",Ten-Tec native ASCII command set (Argonaut VI / Eagle family),57600,8,1,None,None (RTS/DTR high),n/a,No,Built-in USB (enumerates as a USB-to-UART virtual COM) for CAT + Digirig Mobile / SignaLink (via rear ACC jack) for audio,CAT (software PTT over USB) or rear ACC PTT line via interface / VOX,Connects as a virtual COM port for control/logging/firmware; 57600 8N1. Uses the same driver setup as the Eagle 599.,Rear USB (Type-B) for CAT + ACC audio jacks,"Ten-Tec Argonaut VI (539); USB CAT, no internal audio codec.",confirmed,TEN-TEC Model 539 Argonaut VI Programmer's Reference Guide (v1.0),http://www.tentec.com/wp-content/uploads/2016/05/tt_539_program_ref_v1.0.pdf,"Confirmed by the official 539 Programmer's Reference: 57600 baud, 8 data, no parity, 1 stop; physical interface is a built-in USB-to-UART virtual COM; RTS flow control recommended (optional). Shares the Eagle's processor/protocol."
Ten-Tec,Argosy (525),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Argosy (525) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Argosy II (525D),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Argosy II (525D) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Century 21 (570),HF CW transceiver,HF 80-10m,"No serial/CAT port (vintage CW transceiver). Tune frequency by hand on the VFO. For CW/digital, feed audio through a sound-card interface into the audio jack; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - analog rig; set frequency manually.,Rear audio and key jacks,Vintage Ten-Tec Century 21 (570) CW 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Century 21 Digital (574),HF CW transceiver,HF 80-10m,"No serial/CAT port (vintage CW transceiver with digital-readout display). Tune frequency by hand on the VFO. For CW/digital, feed audio through a sound-card interface into the audio jack; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - analog rig; set frequency manually (digital readout only).,Rear audio and key jacks,Vintage Ten-Tec Century 21 Digital (574) CW transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Century 22 (579),HF CW transceiver,HF 80-10m,"No serial/CAT port (vintage CW transceiver). Tune frequency by hand on the VFO. For CW/digital, feed audio through a sound-card interface into the audio jack; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - analog rig; set frequency manually.,Rear audio and key jacks,Vintage Ten-Tec Century 22 (579) CW 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Corsair (560),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Corsair (560) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Corsair II (561),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Corsair II (561) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Delta (580),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Delta (580) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Delta II (536),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Delta II (536) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Eagle (599 / 599AT),HF+6m transceiver,HF 160-10m + 6m,"Single USB cable to the rig's built-in USB port (virtual COM) for CAT (native Ten-Tec/Orion-based protocol). No built-in audio codec, so add a sound-card interface for digital-mode audio.",Ten-Tec native ASCII command set (Eagle family),57600 (up to 115200 to also drive the spectrum window),8,1,None,None (RTS/DTR high),n/a,No,Built-in USB (enumerates as a USB-to-UART virtual COM) for CAT + Digirig Mobile / SignaLink (via rear ACC jack; or Ten-Tec 712) for audio,CAT (software PTT over USB) or rear ACC PTT line via interface / VOX,Connects as a virtual COM port; 57600 8N1. Hamlib model TT-599; protocol is Orion-based.,Rear USB port for CAT + ACC audio jacks,"Ten-Tec Eagle (599/599AT); USB CAT, no internal audio codec.",confirmed,TEN-TEC Model 599 Eagle Programmer's Reference Guide (v1.001),http://www.tentec.com/wp-content/uploads/2016/05/tt_599_program_ref_v1.001.pdf,"Confirmed by the official 599 Programmer's Reference: 57600 baud, 8 data, no parity, 1 stop; physical interface is a built-in USB-to-UART virtual COM (RTS flow control recommended, optional). Higher rates (to 115200) supported for the CAT+spectrum window."
Ten-Tec,Jupiter (538),HF transceiver,HF 160-10m,"USB-to-RS-232 serial adapter to the rig's DB-9 for CAT (native Ten-Tec protocol). Hardware handshake required (cable must have RTS/CTS wired). No built-in audio codec, so add a sound-card interface for digital-mode audio.",Ten-Tec native ASCII command set (Jupiter),57600 (fixed),8,1,None,RTS/CTS (hardware handshake required),n/a,No,USB-serial adapter with RTS/CTS wired to the rear RS-232 DB9 (hardware handshake required) for CAT + Digirig Mobile / SignaLink (via rear ACC jack) for audio,CAT (software PTT via serial command) or rear ACC PTT line via interface,57600 8N1 with hardware handshake. Hamlib model TT-538.,Rear DB-9 RS-232 (needs CTS/RTS) + ACC audio jacks,Ten-Tec Jupiter (538); the serial cable MUST carry CTS/RTS or control fails.,confirmed,Hamlib rigs/tentec/jupiter.c (TT-538),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/jupiter.c,"Confirmed: 57600 baud, 8 data, 1 stop, no parity per Hamlib jupiter (TT538). Note the Jupiter uses a real RS-232 DB9 port with HARDWARE (RTS/CTS) handshake, so the USB-serial cable must have RTS/CTS wired — the claim already flags this."
Ten-Tec,Omni V (562),HF transceiver,HF 160-10m (general-coverage RX),"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Omni V (562) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Omni VI (563),HF transceiver,HF 160-10m,"No native serial/CAT port. Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None natively - set frequency by hand. (Can be factory-upgraded to Omni VI+ which supports an optional serial interface.),Front mic connector; rear accessory jack,Ten-Tec Omni VI (563) 160-10m transceiver; no built-in computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Omni VI Plus (564),HF transceiver,HF 160-10m,"With Ten-Tec's optional serial interface installed, connect via a USB-to-RS-232 adapter for CAT (native Ten-Tec protocol). Without the option, tune by hand. Add a sound-card interface for digital-mode audio.","Ten-Tec native serial, Icom CI-V-style command set (built-in port)","1200 default (1200,N,8,1 per Ten-Tec spec); selectable 1200/2400/4800/9600/19200",8,1,None,None,n/a (CI-V-style protocol but no published Icom hex address),No,USB-to-RS232 adapter into the built-in serial port for CAT + Digirig Mobile or SignaLink for audio,Software PTT over serial (CI-V 'matrix mode') or rig PTT/VOX,Requires the optional serial-interface module for any PC control; verify baud/protocol against the interface docs.,Rear accessory (optional serial interface) + mic/accessory audio jacks,Ten-Tec Omni VI+ (564); computer control only via the optional serial interface board - verify baud.,corrected,N5NA Omni VI+ (564) page + Ten-Tec Omni VI+ serial-interface page,https://www.qsl.net/n5na/pages/564.html,"Claim said 'via optional serial interface' and baud 'verify': the 564 has a BUILT-IN two-line RS-232 port (only the earlier 563 needed the add-on). Ten-Tec documents the port as CI-V-style protocol at 1200,N,8,1, selectable up to 19200 baud."
Ten-Tec,Omni-A (545),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Omni-A (545) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Omni-C (546C),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Omni-C (546C) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Omni-D (546),HF transceiver,HF 160-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Omni-D (546) 160-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Omni-VII (588),HF+6m transceiver,HF 160-10m + 6m,"USB-to-RS-232 serial adapter to the rig's DB-9 for CAT (native Ten-Tec/Orion-based protocol), or use the built-in Ethernet port for full network remote. Add a sound-card interface for digital-mode audio.",Ten-Tec native (Orion-based binary),57600 (fixed),8,1,None,None (RTS/DTR high),n/a,No,USB-serial for CAT via rear DB9 + Digirig Mobile for audio (SignaLink alt); or built-in Ethernet for remote,CAT (software PTT) or interface RTS via ACC,57600 8N1 on the serial port. Hamlib model TT-588. Ethernet remote uses Ten-Tec's GUI/router setup.,Rear DB-9 RS-232 + RJ-45 Ethernet + ACC audio jacks,Ten-Tec Omni-VII (588); serial CAT plus built-in Ethernet remote base.,confirmed,Hamlib omnivii.c (TT-588 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/omnivii.c,Hamlib TT-588 caps confirm 57600 8-N-1 fixed. Note: Hamlib specifies HARDWARE (RTS/CTS) handshake on the serial port; radio also has built-in Ethernet.
Ten-Tec,Omni-VII+ (588+),HF+6m transceiver,HF 160-10m + 6m,"USB-to-RS-232 serial adapter to the rig's DB-9 for CAT (native Ten-Tec/Orion-based protocol), or use the built-in Ethernet port for full network remote. Add a sound-card interface for digital-mode audio.",Ten-Tec native (Orion-based binary),57600 (fixed),8,1,None,None (RTS/DTR high),n/a,No,USB-serial for CAT via rear DB9 + Digirig Mobile for audio (SignaLink alt); or built-in Ethernet for remote,CAT (software PTT) or interface RTS via ACC,57600 8N1 on the serial port. Hamlib model TT-588. Ethernet remote uses Ten-Tec's GUI/router setup.,Rear DB-9 RS-232 + RJ-45 Ethernet + ACC audio jacks,Ten-Tec Omni-VII+ (588+); serial CAT plus built-in Ethernet remote base.,confirmed,Hamlib omnivii.c (TT-588 rig caps; the '+' is a firmware upgrade of the 588),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/omnivii.c,"The 588+ is the same hardware/protocol as the 588 (firmware/board upgrade); Hamlib TT-588 backend covers it: 57600 8-N-1, hardware handshake, plus Ethernet."
Ten-Tec,Orion (565),HF transceiver,HF 160-10m + general-coverage RX,"USB-to-RS-232 serial adapter to the rig's DB-9 for CAT (native Ten-Tec Orion protocol). No built-in audio codec, so add a sound-card interface for digital-mode audio.",Ten-Tec (Orion native binary),57600 (fixed),8,1,None,None (RTS/DTR high),n/a,No,USB-serial cable into rear DB9 for CAT + Digirig Mobile for audio via rear ACC (SignaLink alt),CAT (software PTT) or interface RTS via ACC,57600 8N1 (very early Orion firmware used 56000). Hamlib model TT-565.,Rear DB-9 RS-232 + ACC audio jacks,"Ten-Tec Orion (565); CAT via serial, audio via external interface.",confirmed,Hamlib orion.h (TT-565/566 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/orion.h,Hamlib fixes serial at 57600 8-N-1 with HARDWARE handshake. The claimed 'early units 56000' is not a standard baud rate nor documented in Hamlib; the correct/only rate is 57600.
Ten-Tec,Orion II (566),HF transceiver,HF 160-10m + general-coverage RX,"USB-to-RS-232 serial adapter to the rig's DB-9 for CAT (native Ten-Tec Orion protocol). No built-in audio codec, so add a sound-card interface for digital-mode audio.",Ten-Tec (Orion native binary),57600 (fixed),8,1,None,None (RTS/DTR high),n/a,No,USB-serial cable into rear DB9 for CAT + Digirig Mobile for audio via rear ACC (SignaLink alt),CAT (software PTT) or interface RTS via ACC,57600 8N1. Hamlib model TT-566.,Rear DB-9 RS-232 + ACC audio jacks,"Ten-Tec Orion II (566); CAT via serial, audio via external interface.",confirmed,Hamlib orion.h (TT-565/566 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/orion.h,"Hamlib TT-566 shares the Orion caps: 57600 8-N-1 fixed, HARDWARE handshake."
Ten-Tec,Paragon (585),HF transceiver,HF 160-10m (general-coverage RX),"Native rig is manually tuned. For computer control, install the optional Ten-Tec Model 258 RS-232 interface, then connect via a USB-serial adapter. Add a sound-card interface for digital-mode audio.",Ten-Tec (via optional Model 258 RS-232 interface),1200 (fixed),8,1,None,None,n/a,No,Optional Ten-Tec Model 258 RS-232 interface + USB-serial for CAT; Digirig Mobile for audio (SignaLink alt),VOX / interface RTS (or software once interfaced),"Requires the optional Model 258 interface for any PC control; verify baud/protocol against its docs. Without it, treat as no-CAT (manual tuning).",Rear accessory (Model 258 RS-232) + mic/accessory audio jacks,Ten-Tec Paragon (585); computer control is optional-module only - verify baud.,confirmed,Hamlib paragon.c (TT-585 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/paragon.c,Hamlib TT-585 caps confirm 1200 8-N-1 fixed. The 585 indeed needs the optional Model 258 RS-232 interface (unlike the 586).
Ten-Tec,Paragon II (586),HF transceiver,HF 160-10m,"Native rig is manually tuned. For computer control, add Ten-Tec's optional RS-232 interface, then connect via a USB-serial adapter. Add a sound-card interface for digital-mode audio.",Ten-Tec (Icom-style command set) via BUILT-IN RS-232,1200 (documented interface rate; full manual not directly re-verified),8,1,None,None,n/a,No,USB-serial adapter into the built-in RS-232 port for CAT + Digirig Mobile for audio (SignaLink alt),Software PTT via serial (or interface RTS/VOX),"Requires the optional serial-interface module for any PC control; verify baud/protocol. Without it, treat as no-CAT (manual tuning).",Rear accessory (optional RS-232) + mic/accessory audio jacks,Ten-Tec Paragon II (586); computer control is optional-module only - verify baud.,corrected,N5NA Paragon II (586) page / Ten-Tec Model 586 Operator's Manual,https://www.qsl.net/n5na/pages/586.html,"Claim said 'via optional RS-232 interface': the 586 has a BUILT-IN RS-232 port with a more advanced logic/command set (runs Icom-style logging programs), unlike the 585 which needs the Model 258. Baud 1200/8-N-1 is the documented interface value but I could not re-open the full manual (PDF too large to fetch) to re-verify the exact rate."
Ten-Tec,Patriot (507),QRP HF transceiver,HF 40/20m,"No standard CAT port (open-source/kit QRP transceiver). Set frequency on the radio. For CW/digital, feed audio through a sound-card interface into the audio jack; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - set frequency on the radio; no rig-control protocol.,Audio and key jacks,Ten-Tec Patriot (507) QRP 40/20m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Pegasus (550),HF transceiver (PC-controlled),HF 160-10m,"USB-to-RS-232 serial adapter to the rig's DB-9 - the Pegasus is a PC-controlled 'black-box' rig with no front panel, so ALL operation is from the PC (native Ten-Tec protocol). Add a sound-card interface for audio.",Ten-Tec (Pegasus/TT-550 native binary),57600 (fixed),8,1,None,None (RTS/DTR high),n/a,No,USB-serial cable into built-in serial port for control + Digirig Mobile for audio via rear ACC (SignaLink alt),CAT (software PTT) or interface RTS via ACC,No front panel - everything is set in the Pegasus/N4PY/Hamlib software; 57600 8N1. Hamlib model TT-550.,Rear DB-9 RS-232 + rear ACC audio jacks,Ten-Tec Pegasus (550); requires the PC for all control (no manual front panel).,confirmed,Hamlib pegasus.c (TT-550 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/pegasus.c,Hamlib TT-550 (Pegasus is the 'PC-radio') caps confirm 57600 8-N-1 fixed. Serial control is built-in and mandatory (no standalone front panel).
Ten-Tec,PM-2B Powermite,QRP HF transceiver,HF 80/40/20m,"No computer control (tiny QRP CW transceiver). Set frequency on the radio. For CW/digital, feed audio through a sound-card interface; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - set frequency by hand.,Audio and key jacks,Vintage Ten-Tec PM-2B Powermite QRP transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,PM-3A Powermite,QRP HF transceiver,HF 40/20m,"No computer control (tiny QRP CW transceiver). Set frequency on the radio. For CW/digital, feed audio through a sound-card interface; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - set frequency by hand.,Audio and key jacks,Vintage Ten-Tec PM-3A Powermite QRP transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,R4020,QRP HF transceiver,HF 40/20m,"No computer control (QRP CW transceiver kit). Set frequency on the radio. For CW/digital, feed audio through a sound-card interface; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - set frequency by hand.,Audio and key jacks,Ten-Tec R4020 40/20m QRP CW transceiver kit; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,R4030,QRP HF transceiver,HF 40/30m,"No computer control (QRP CW transceiver kit). Set frequency on the radio. For CW/digital, feed audio through a sound-card interface; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the audio/key jacks (SignaLink alt),VOX or key-jack keying,None - set frequency by hand.,Audio and key jacks,Ten-Tec R4030 40/30m QRP CW transceiver kit; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Rebel (506),QRP HF transceiver,HF 40/20m,"No standard CAT port. The Rebel is an open-source chipKIT/Arduino-programmable QRP CW rig - it is customized by loading sketches over its USB programming port, not by a rig-control protocol. Set frequency on the radio. For CW/digital, feed audio through a sound-card interface; key via VOX or key jack.",none (open-source firmware; no standard CAT),n/a,n/a,n/a,n/a,n/a,n/a,No,USB for firmware/sketches; Digirig Mobile into the audio/key jacks for digital (SignaLink alt),VOX or key-jack keying,Behavior is set by the chipKIT sketch; no rig-control protocol for logging software.,USB (programming) + audio/key jacks,"Ten-Tec Rebel (506) open-source QRP CW transceiver; USB is for firmware, not CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,RX-320,HF communications receiver,100 kHz-30 MHz,USB-to-RS-232 serial adapter to the rig's DB-9 - the RX-320 is a PC-controlled 'black-box' receiver with no front panel; all tuning/control is from the PC software. Receiver audio out feeds a PC sound card for decoding.,Ten-Tec RX-320 (native binary),1200 (fixed),8,1,None,None,n/a,No,USB-serial cable for control; audio-out to PC sound card / sound-card interface (Digirig/SignaLink) for decoding,n/a (receive-only),"No front panel - all control from software; serial is fixed at 1200 baud, 8-N-1. Hamlib rx320 backend.",Rear DB-9 serial + 3.5mm line-out,Ten-Tec RX-320 PC-controlled receiver (RX only); fixed 1200 baud.,confirmed,Hamlib rx320.c (RX-320 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/rx320.c,Hamlib confirms 1200 8-N-1 fixed. Receiver has a built-in serial port and requires PC control (no standalone panel).
Ten-Tec,RX-320D,HF communications receiver,100 kHz-30 MHz,USB-to-RS-232 serial adapter to the rig's DB-9 - PC-controlled 'black-box' receiver (adds DSP); all tuning/control is from the PC software. Receiver audio out feeds a PC sound card for decoding.,Ten-Tec RX-320 (native binary),1200 (fixed),8,1,None,None,n/a,No,USB-serial cable for control; audio-out to PC sound card / sound-card interface (Digirig/SignaLink) for decoding,n/a (receive-only),"No front panel - all control from software; serial fixed at 1200 baud, 8-N-1. Uses the RX-320 command set.",Rear DB-9 serial + 3.5mm line-out,Ten-Tec RX-320D PC-controlled DSP receiver (RX only); fixed 1200 baud.,confirmed,Hamlib rx320.c (RX-320/320D use the same backend),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/rx320.c,"The RX-320D is an RX-320 with an added line/DSP audio output; the control protocol/serial is identical (1200 8-N-1 fixed), covered by the same Hamlib RX320 backend."
Ten-Tec,RX-340,HF communications receiver (professional),5 kHz-30 MHz,"USB-to-RS-232 serial adapter to the rig's rear DB-25 for RS-232 remote control (multi-drop, professional receiver); IEEE-488 also available. Receiver audio out feeds a PC sound card for decoding.",Ten-Tec RX-340 (native binary),75–38400 selectable (max 38400),8,1,None,None,n/a,No,USB-serial cable (or RS-232/RS-422) for control; audio-out to PC sound card / interface for decoding,n/a (receive-only),Set the receiver's serial address/baud (75-38400). Multi-drop RS-232 on the rear DB-25.,Rear DB-25 RS-232 (or IEEE-488) + audio out,Ten-Tec RX-340 professional receiver (RX only); flexible baud up to 38400.,confirmed,Hamlib rx340.c (RX-340 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/rx340.c,"Hamlib confirms serial range 75–38400 baud, 8-N-1. Matches the claim exactly (pro-grade receiver with wide selectable rate)."
Ten-Tec,RX-350,HF communications receiver,100 kHz-30 MHz,USB-to-RS-232 serial adapter to the rig's DB-9 for computer control (DSP receiver with front panel). Receiver audio out feeds a PC sound card for decoding.,Ten-Tec RX-350 (native binary),57600 (fixed),8,1,None,None,n/a,No,USB-serial cable for control; audio-out to PC sound card / interface for decoding,n/a (receive-only),Enable/serial control; confirm baud (commonly 57600) in the RX-350 manual. 8-N-1.,Rear DB-9 serial + audio out,Ten-Tec RX-350 DSP receiver (RX only); baud not firmly documented - verify.,confirmed,Hamlib rx350.c (RX-350 rig caps),https://github.com/Hamlib/Hamlib/blob/master/rigs/tentec/rx350.c,Claim hedged '57600 typical; not firmly documented – verify'. Now FIRMLY documented: Hamlib rx350.c fixes 57600 8-N-1 with hardware handshake.
Ten-Tec,Scout (555),HF transceiver,HF 160-10m,"No serial/CAT port (band-module HF transceiver). Tune frequency by hand. For SSB/CW digital, feed audio through a sound-card interface into the mic/audio jack; key via VOX or key jack.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/audio jack (SignaLink alt),VOX or key-jack keying,None - plug-in band modules; set frequency by hand.,Front mic connector; rear audio/key jacks,Ten-Tec Scout (555) 160-10m transceiver (plug-in band modules); no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Triton I (510),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Triton I (510) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
